#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
307.446347,197,244.85284
268.612916,297,245.10196
302.977488,210,245.342862
308.039885,286,245.625388
248.649818,246,245.857418
298.274892,315,246.182032
244.670945,518,246.675837
260.224634,273,246.906786
245.134231,254,247.118014
-9.476643,77,247.182869
280.94845,171,247.342477
33.085918,88,247.426879
-2.880643,98,247.516138
263.029677,210,247.710023
183.046965,759,248.344457
288.846549,275,248.692334
274.756063,327,249.110286
27.584145,105,249.215585
249.267597,215,249.301639
253.675811,217,249.388278
245.836325,222,249.476117
251.835816,181,249.552189
274.92968,229,249.646381
171.321958,692,249.924884
292.308661,265,250.031971
-4.203052,1000,250.4461
265.448389,252,250.548553
38.308699,145,250.691873
269.328621,194,250.872555
277.817825,187,251.059198
245.98479,171,251.203804
309.842592,198,251.370596
270.554858,406,251.721089
293.193514,270,251.953983
274.380014,257,252.174661
278.232749,267,252.398346
235.057142,409,252.765948
286.683429,190,252.968629
268.563156,338,253.275221
303.821915,432,253.629851
267.162124,230,253.818209
279.363743,364,254.118659
235.319644,465,254.489908
284.650105,317,254.879391
252.052545,298,255.168482
281.059544,203,255.350867
287.108737,188,255.508344
305.452526,201,255.682762
294.605865,245,255.912202
269.586221,243,256.134869
250.546921,293,256.369052
230.34192,304,256.65062
4.648323,1000,257.535775
239.619175,480,257.941234
286.995561,389,258.25833
27.870632,1000,259.065086
300.513649,202,259.386097
104.484632,1000,259.775681
294.423688,261,259.878973
245.682732,902,260.238682
114.039675,1000,260.630458
255.215434,224,260.717916
296.235951,260,260.819168
126.657534,1000,261.210668
253.177084,390,261.359957
172.496491,1000,261.753959
237.437209,670,262.275218
273.056516,477,262.649751
274.744912,211,262.814254
230.099992,383,263.106002
250.687686,249,263.297084
280.131737,328,263.554878
266.246815,246,263.742413
204.699624,529,264.149865
251.289261,352,264.421743
264.790501,423,264.751713
238.386926,474,265.119228
253.679336,544,265.546695
258.611968,299,265.77737
251.762151,299,266.008639
264.606987,365,266.294276
238.077247,475,266.667781
274.857986,363,266.945188
272.927376,345,267.215955
254.482314,537,267.647558
290.075916,299,267.874254
256.449782,315,268.117683
265.280346,240,268.304112
202.717601,902,268.998219
250.242029,272,269.207616
252.169053,201,269.595303
287.611624,303,269.715431
236.659976,430,269.88541
269.581357,337,270.017701
241.268185,273,270.12549
286.129721,244,270.226409
277.112752,181,270.298308
157.531403,1000,270.727924
247.312815,224,270.821317
268.872124,295,270.94826
287.573261,188,271.16616
282.193043,224,271.474788
295.324283,298,271.76437
270.052077,263,272.068784
197.644076,435,272.510529
273.767311,216,272.68884
286.319656,256,272.89958
289.674704,289,273.141088
237.176666,389,273.463767
305.390974,309,273.722048
267.648067,290,273.963314
271.828077,257,274.178402
268.137714,433,274.610852
270.49169,232,274.813102
256.559049,228,275.001963
305.85134,262,275.225709
235.78143,331,275.496367
226.115673,208,275.666989
246.880169,301,275.980835
290.966176,309,276.318865
248.822312,323,276.621342
288.990339,253,276.833309
244.515451,310,277.098926
259.247203,230,277.315122
275.899464,218,277.535547
259.981169,199,277.743759
285.582849,263,278.011634
271.017168,292,278.252765
236.679897,356,278.570912
263.144744,291,278.827019
273.682777,228,279.026004
241.900299,183,279.25783
260.093591,191,279.439242
268.455567,775,280.197659
298.646383,196,280.440901
287.596025,269,280.547015
247.129543,311,280.671655
225.849358,237,280.763477
259.551003,242,280.856383
228.64539,301,280.970693
288.653812,262,281.073997
250.939734,178,281.151106
139.94348,1000,281.579173
267.137353,287,281.695644
243.067856,177,281.885271
248.595693,273,282.167332
269.482822,284,282.45805
253.543662,298,282.74954
